Trial,A,W,MT,ID,TP,OriginalPredictedMT,ShannonPredictedMT
0,0.9842442,10,10.4176307964853,0.135435625910759,0.0130006167963308,16.338624157238,1.15525455667377
1,1.156796,20,0.972299900793651,0.0811210945248604,0.0834321740222789,21.7481054048538,0.772163303902745
2,0.6824276,10,0.646227699829931,0.0952395796775818,0.147377742709955,20.0651142409325,0.87174380338192
3,0.6873209,20,0.676024496882087,0.0487467758357525,0.0721080020924965,27.0456096630096,0.54382075932473
4,0.6897931,10,0.580468998015872,0.0962338671088219,0.165786402784237,19.9558766005516,0.878756711491942
5,0.6830549,20,0.619998100907029,0.0484492890536785,0.0781442539627128,27.1089661491394,0.541722525553405
6,0.6837646,10,0.588190299036281,0.0954200401902199,0.162226477292401,20.0451988872528,0.873016627469659
7,0.6976265,20,0.623954499716554,0.0494653768837452,0.0792772179801829,26.8941719212532,0.548889196236432
8,0.7844314,10,7.95697180413832,0.108950152993202,0.0136924141086611,18.6476246911049,0.968447219091654
9,0.7652495,20,1.04226199688209,0.0541712231934071,0.051974669857924,25.9527439095497,0.582080471427739
10,0.7053076,10,1.76229140447846,0.0983262658119202,0.0557945556348097,19.7295481827736,0.893514818024635
11,0.7042742,20,1.56864509637188,0.0499286279082298,0.0318291422474782,26.7976674614906,0.552156598362327
12,0.7086237,10,1.48871860119048,0.0987731292843819,0.0663477498067105,19.6818172532082,0.896666635468602
13,0.7208033,20,0.840781299603172,0.0510799661278725,0.0607529760140728,26.5616075439453,0.56027721709311
14,0.7150143,10,1.36812280328798,0.099633701145649,0.0728251154839327,19.5904618952751,0.902736420920491
15,0.6831715,20,1.76297859977324,0.0484574399888515,0.0274861192274734,27.1072290419579,0.541780015729368
16,0.6779025,10,1.12355539965986,0.0946283042430878,0.0842221970289447,20.1328126542091,0.867432355487347
